stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,station_complex_id,complex_stop_name,complex_display_name,constituent_station_names,station_ids,borough,cbd,daytime_routes,structure_type,complex_latitude,complex_longitude,ada,ada_notes,is_ibx,station_complex_name,station_complex_lat,station_complex_lon
603,Middletown Rd,40.843863,-73.836322,1,,362.0,Middletown Rd,Middletown Rd (6),Middletown Rd,362,Bx,False,6,Elevated,40.843863,-73.836322,0.0,,False,Middletown Rd (6),40.843863,-73.836322
603N,Middletown Rd,40.843863,-73.836322,0,603,,,,,,,,,,,,,,False,Middletown Rd,,
603S,Middletown Rd,40.843863,-73.836322,0,603,,,,,,,,,,,,,,False,Middletown Rd,,
604,Westchester Sq-E Tremont Av,40.839892,-73.842952,1,,363.0,Westchester Sq-E Tremont Av,Westchester Sq-E Tremont Av (6),Westchester Sq-E Tremont Av,363,Bx,False,6,Elevated,40.839892,-73.842952,1.0,,False,Westchester Sq-E Tremont Av (6),40.839892,-73.842952
604N,Westchester Sq-E Tremont Av,40.839892,-73.842952,0,604,,,,,,,,,,,,,,False,Westchester Sq-E Tremont Av,,
604S,Westchester Sq-E Tremont Av,40.839892,-73.842952,0,604,,,,,,,,,,,,,,False,Westchester Sq-E Tremont Av,,
606,Zerega Av,40.836488,-73.847036,1,,364.0,Zerega Av,Zerega Av (6),Zerega Av,364,Bx,False,6,Elevated,40.836488,-73.847036,0.0,,False,Zerega Av (6),40.836488,-73.847036
606N,Zerega Av,40.836488,-73.847036,0,606,,,,,,,,,,,,,,False,Zerega Av,,
606S,Zerega Av,40.836488,-73.847036,0,606,,,,,,,,,,,,,,False,Zerega Av,,
607,Castle Hill Av,40.834255,-73.851222,1,,365.0,Castle Hill Av,Castle Hill Av (6),Castle Hill Av,365,Bx,False,6,Elevated,40.834255,-73.851222,0.0,,False,Castle Hill Av (6),40.834255,-73.851222
607N,Castle Hill Av,40.834255,-73.851222,0,607,,,,,,,,,,,,,,False,Castle Hill Av,,
607S,Castle Hill Av,40.834255,-73.851222,0,607,,,,,,,,,,,,,,False,Castle Hill Av,,
608,Parkchester,40.833226,-73.860816,1,,366.0,Parkchester,Parkchester (6),Parkchester,366,Bx,False,6,Elevated,40.833226,-73.860816,1.0,,False,Parkchester (6),40.833226,-73.860816
608N,Parkchester,40.833226,-73.860816,0,608,,,,,,,,,,,,,,False,Parkchester,,
608S,Parkchester,40.833226,-73.860816,0,608,,,,,,,,,,,,,,False,Parkchester,,
609,St Lawrence Av,40.831509,-73.867618,1,,367.0,St Lawrence Av,St Lawrence Av (6),St Lawrence Av,367,Bx,False,6,Elevated,40.831509,-73.867618,0.0,,False,St Lawrence Av (6),40.831509,-73.867618
609N,St Lawrence Av,40.831509,-73.867618,0,609,,,,,,,,,,,,,,False,St Lawrence Av,,
609S,St Lawrence Av,40.831509,-73.867618,0,609,,,,,,,,,,,,,,False,St Lawrence Av,,
610,Morrison Av-Soundview,40.829521,-73.874516,1,,368.0,Morrison Av-Soundview,Morrison Av-Soundview (6),Morrison Av-Soundview,368,Bx,False,6,Elevated,40.829521,-73.874516,0.0,,False,Morrison Av-Soundview (6),40.829521,-73.874516
