station_complex_id,station_complex_name,buffer_area_sqmi,pop_density_0p5mi,pop_rank,population_0p5mi,population_access_network,jobs_access_network,landuse_entropy_0p5mi,landuse_entropy_relative_0p5mi,landuse_simpson_0p5mi,landuse_k_categories_0p5mi,intersection_count_0p5mi,intersection_density_0p5mi,citibike_count_0p5mi,pct_hh_no_vehicle_access_network,median_hh_income_access_network,pct_car_truck_van_access_network,pct_transit_access_network,pct_taxicab_access_network,pct_bicycle_access_network,pct_walked_access_network,pct_other_means_access_network,pct_wfh_access_network,avg_bg_median_hh_income_access_network,bus_routes_access_network,subway_lines_access_network,commuter_lines_access_network,dist_to_commuter_stop_ft_network,dist_to_commuter_stop_mi_network,has_commuter_stop_within_1mi_network,transfer_subway_station_complexes_0p25mi_network,transfer_subway_station_complexes_0p10mi_network,has_subway_station_complex_within_1mi_network,dist_to_subway_station_complex_ft_network,dist_to_subway_station_complex_mi_network,is_ibx_planned,peak_tph_bidir,midday_tph_bidir,peak_tph_perdir,midday_tph_perdir,subway_lines_serving_station,is_terminal_subway,has_university_0p25mi,has_university_0p5mi,has_hospital_0p25mi,has_hospital_0p5mi,has_stadium_0p1mi,cultural_count_0p25mi,cultural_count_0p5mi,has_cultural_0p25mi,cultural_count_0p25mi_capped10,cultural_count_0p25mi_log1p,has_cultural_0p5mi,cultural_count_0p5mi_capped10,cultural_count_0p5mi_log1p,adjacent_major_park_0p25mi,adjacent_major_park_0p5mi,subway_trips_per_hour_am_peak,avg_headway_min_am_peak
263,"63 Dr-Rego Park (M,R)",0.784137123,64130,124,50287,38932,11328,1.748297311,0.759275875,0.783357039,10,535,682.2786277,1,27.64452336,74007.39142,23.85078369,52.91224606,0.681800756,0.154813101,8.686035145,1.111416776,8.724209424,72342,29,4,0,,,0,0,0,0,0,0,0,0,0,,,0,0,1,1,0,0,0,1,4,1,1,0.693147181,1,4,1.609437912,0,0,56,1
264,"Woodhaven Blvd (M,R)",0.784137123,55798,190,43753,33178,10766,1.905804737,0.794782307,0.824175383,11,629,802.1556203,11,23.92928898,62682.83372,20.54641907,59.31335751,0.616939706,0.323701657,8.830371975,0.892476074,5.979805076,62101,27,4,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,3,0,0,0,1,3,1.386294361,0,0,55.33,1
265,"Grand Av-Newtown (M,R)",0.784137123,55925,187,43853,22096,6332,1.974951218,0.82361863,0.819625928,11,542,691.2056378,14,23.64142403,63413.72014,18.53684262,63.88141224,0.528063858,0.29442743,6.200291339,0.626111198,4.60900216,62582,30,7,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,6,8,1,6,1.945910149,1,8,2.197224577,0,0,56,1
266,"Elmhurst Av (M,R)",0.784137123,79858,63,62620,21560,4299,1.953184448,0.814541181,0.836230634,11,394,502.4631389,23,19.94733751,59347.81111,14.68346612,65.69820929,0.481025226,0.517881075,7.757268167,0.583467781,4.819777903,59973,24,7,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,3,11,1,3,1.386294361,1,10,2.48490665,0,0,55.67,1
268,"65 St (M,R)",0.784137123,52696,211,41321,15507,3664,1.992185048,0.830805695,0.828461778,11,549,700.1326479,29,24.05046008,62801.26919,19.31074456,58.53549112,1.411305132,0.875113647,8.16172539,0.379952549,6.406633831,64621,12,7,9,2389.566448,0.452569403,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,9,1,1,0.693147181,1,9,2.302585093,0,0,51.67,1.5
269,"Northern Blvd (M,R)",0.784137123,34722,350,27227,14026,4051,2.147716036,0.895667155,0.867694414,11,473,603.2108242,25,21.9511305,70107.92945,17.83647097,60.73388471,0.981043005,1.103859383,8.014046992,0.526968416,6.469791035,68779,12,6,9,3683.235167,0.697582418,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,5,1,1,0.693147181,1,5,1.791759469,0,0,51.33,1.5
270,"46 St (M,R)",0.784137123,34494,353,27048,14947,5366,2.117703072,0.883150776,0.859517948,11,331,422.1200482,25,17.64579603,78704.87529,13.94564979,65.32643485,0.57053932,1.514676047,6.689751078,0.658602468,7.295821429,75477,10,8,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2,5,1,2,1.098612289,1,5,1.791759469,0,0,51.33,1
271,"Steinway St (M,R)",0.784137123,39329,320,30839,10826,4310,1.932903569,0.806083398,0.810959165,11,191,243.5798465,25,13.71330763,82957.72958,11.07006781,67.90993783,0.574746889,1.898188853,6.2734896,0.719006079,8.755408082,79927,11,6,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,10,15,1,10,2.397895273,1,10,2.772588722,0,0,51.33,1.5
272,"36 St (M,R)",0.784137123,18283,422,14336,5143,7186,1.995230473,0.832075735,0.812050533,11,198,252.5068566,16,12.83267323,85583.43853,10.03566085,68.00344308,0.558552449,1.949306949,5.883556724,0.65285223,9.8593984,84236,13,9,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,11,1,1,0.693147181,1,10,2.48490665,0,0,51,1.5
273,"Queens Plaza (E,F,R)",0.784137123,13378,438,10490,3983,10552,1.848422482,0.770852048,0.781193848,11,501,638.9188645,19,12.25680448,88778.30208,9.319719591,69.84643406,0.350867136,1.354170719,5.875131571,1.133724451,8.955415602,96136,15,10,3,4871.868894,0.922702442,1,0,0,0,0,0,0,0,0,,,0,0,0,1,0,1,0,3,14,1,3,1.386294361,1,10,2.708050201,0,0,102.67,0.5
